Unsorted Index,Domain,Total Tokens,URL Appearances,Assign to [Name],Website Issue,User Content,Website Description,Content Domain I,Content Domain II,Content Domain III,Content Domain (other),Type of service,Type of service (Other),Sensitive content: Nudity,Sensitive content: Pornography,Sensitive content: Drugs,Sensitive content: Violence,Sensitive content: Illegal Activities,Sensitive content: Hate Speech
5666,ipfs.io,61648981,41510,Shayne,TRUE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
45629,patents.com,60763346,7418,Shayne,TRUE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1040,www.washingtonpost.com,56312743,73788,Shayne,FALSE,Strong Moderation,A news service for politics,News,Government/Policy,,,Periodicals,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
17276,caselaw.findlaw.com,54830608,15023,Shayne,FALSE,None,FindLaw's Cases and Codes section contains resources and links for both state and federal laws,Legal,Government/Policy,Education/Knowledge,,Encyclopedia/Database,Legal,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5255,www.theatlantic.com,54697261,80693,Shayne,FALSE,None,A global news service,News,Government/Policy,,,Periodicals,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7040,www.frontiersin.org,54589352,13590,Shayne,FALSE,Strong Moderation,Science news and journal articles,Academic,News,Education/Knowledge,,Academic,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
80972,tvtropes.org,53418967,10829,Shayne,FALSE,Strong Moderation,Fan wiki that documents and describes plot conventions and devices in creative works,Entertainment,Cultural/Artistic,Education/Knowledge,,Encyclopedia/Database,Entertainment,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
14129,hubpages.com,49828040,37724,Shayne,FALSE,Weak Moderation,A user-generated online blogging platform,General,Cultural/Artistic,Social/Lifestyle,,Other,Blog publishing platform,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
38761,publications.parliament.uk,49179571,16339,Shayne,FALSE,None,A catalog of UK parliamentary documents,Government/Policy,Legal,,,Government,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3584,www.fool.com,47774846,54878,Shayne,FALSE,Strong Moderation,Financial news and services,Business/Finance,,,,Periodicals,Finance advise & services,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5584,www.businessinsider.com,47173158,95439,Shayne,FALSE,Strong Moderation,Business and investing news,Business/Finance,,,,Periodicals,Financial information,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3060,www.chicagotribune.com,47064637,88867,Shayne,FALSE,None,Chicago-based news site,News,General,,,Periodicals,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4961,link.springer.com,45099515,86098,Shayne,FALSE,Strong Moderation,Academic journal publisher,Academic,,,,Academic,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7645,www.encyclopedia.com,41942479,40308,Shayne,FALSE,Strong Moderation,Information encyclopedia,Education/Knowledge,,,,Encyclopedia/Database,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
22743,forums.theregister.co.uk,40600856,18964,Shayne,FALSE,Weak Moderation,"Technology news, blogs, and forum",Technology/Code,News,Other,Security,Periodicals,Social media / forums,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
444,www.booking.com,40348812,57137,Shayne,FALSE,Strong Moderation,Travel and lodging booking website,E-Commerce,Social/Lifestyle,Other,Travel information,Other,Travel bookings,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4486,www.npr.org,40268628,60081,Shayne,FALSE,Strong Moderation,National public news,News,Education/Knowledge,Government/Policy,,Periodicals,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9853,www.kickstarter.com,40172297,47665,Shayne,FALSE,Weak Moderation,Crowdfunding platform for creative projects,Cultural/Artistic,Social/Lifestyle,,,Other,Crowdfunding platform,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4974,www.telegraph.co.uk,39573034,76460,Shayne,FALSE,Strong Moderation,British news service,News,,,,Periodicals,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3024,www.dailymail.co.uk,39514159,85474,Shayne,FALSE,Weak Moderation,British tabloid and news,News,Entertainment,,,Periodicals,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6038,www.barnesandnoble.com,39127201,45418,Shayne,FALSE,Weak Moderation,"Books vendor, catalog, and reviews",Books,Reviews,Cultural/Artistic,,Ecommerce,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
38915,api.parliament.uk,38844283,8015,Shayne,FALSE,None,UK government documents,Government/Policy,,,,Government,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6192,www.aljazeera.com,37656333,80432,Shayne,FALSE,None,Independent Arab news service,News,Government/Policy,,,Periodicals,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6031,www.instructables.com,37190040,59652,Shayne,FALSE,Weak Moderation,"Blogs, instructions, competitions for people who like making things",Cultural/Artistic,Education/Knowledge,Other,DIY instructions forum,Other,Blogs/forum for building things,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
22263,www.salon.com,36840718,44855,Shayne,FALSE,None,"Culture, lifestyle news",News,Social/Lifestyle,,,Periodicals,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5087,medium.com,36704267,53993,Shayne,FALSE,Weak Moderation,Blog platform,Other,General,,Blogs,Other,Blogs,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9913,www.city-data.com,36577427,57537,Shayne,FALSE,None,A database and analytics platform for US city data,Other,Education/Knowledge,,geographic and demographic analytics,Encyclopedia/Database,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
60042,www.freepatentsonline.com,36232537,5489,Shayne,FALSE,Strong Moderation,Patent database,Legal,,,,Encyclopedia/Database,Legal database,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
31670,coloradovoters.info,35855060,4321,Da Yin,FALSE,None,A collection of voting pages,Government/Policy,,,,Other,Vote,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1773,www.cnet.com,35813587,72880,Da Yin,FALSE,None,"Platform for providing expert information, reviews and analysis on consumer technologies",Reviews,Technology/Code,,,Other,Reviews,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1412,www.ncbi.nlm.nih.gov,35801845,78415,Da Yin,FALSE,Strong Moderation,Nation library of medicine website,Academic,Biomedical/Health,,,Academic,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
37778,supreme.justia.com,35311592,11586,Da Yin,FALSE,None,Website about introduction to US supreme court,Legal,Government/Policy,,,Other,Legal,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
20201,law.justia.com,35272226,14919,Da Yin,FALSE,None,Website about US law information,Legal,,,,Other,Legal,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
19645,www.nature.com,35103984,12512,Da Yin,FALSE,Strong Moderation,Natural journal website,Academic,,,,Academic,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
28992,patents.justia.com,34765650,5877,Da Yin,FALSE,None,Website about US patent law and application,Business/Finance,Technology/Code,,,Other,Legal,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
150,www.foxnews.com,34747811,85128,Da Yin,FALSE,None,Fox news website,News,,,,Periodicals,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,forums.macrumors.com,34653067,74539,Da Yin,FALSE,Weak Moderation,Forum about Apple products,Technology/Code,,,,Other,Forum,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1768,www.baltimoresun.com,34346874,58454,Da Yin,FALSE,Strong Moderation,"Website of the newspaper, Baltimore Sun",News,,,,Periodicals,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
48781,oatd.org,33676058,4631,Da Yin,FALSE,None,Open access research platform,Academic,,,,Academic,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1833,www.sec.gov,33244168,17203,Da Yin,FALSE,None,US Security and Exchange Commission website,Government/Policy,,,,Government,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
11310,www.zdnet.com,33232398,66312,Da Yin,FALSE,None,Platform for sharing global technology trends,Technology/Code,,,,Other,Technology,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
29262,www.csmonitor.com,32804189,51095,Da Yin,FALSE,None,"Website of The Christian Science Monitor, an international news organization",News,,,,Periodicals,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3343,howlingpixel.com,32197666,11196,Da Yin,FALSE,None,"Blog about trending topics on sports, movie, and music celebrities",Entertainment,,,,Other,Blog,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5041,www.foxbusiness.com,32185737,64424,Da Yin,FALSE,None,Website of Fox Business channel,Business/Finance,News,,,Periodicals,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7382,issuu.com,32135270,14027,Da Yin,FALSE,None,Software platform for converting PDF files into other formats,Technology/Code,,,,Other,Software,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3558,www.wired.com,32125111,47948,Da Yin,FALSE,None,"Website of Wired, a monthly American magazine",General,,,,Periodicals,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5368,www.wikihow.com,31619627,21883,Da Yin,FALSE,Strong Moderation,Website for providing daily tips that would be useful for finishing tasks,Social/Lifestyle,,,,Other,Daily tips,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6468,ar.scribd.com,31226869,16355,Da Yin,FALSE,Weak Moderation,Digital document library,Education/Knowledge,Academic,Other,Documents,Encyclopedia/Database,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
504,www.bustle.com,31022742,53727,Da Yin,FALSE,None,Website of an American women's magazine,Social/Lifestyle,,,,Periodicals,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
45158,www.pbs.org,30428322,36654,Da Yin,FALSE,None,Website of a public broadcaster and non-commercial television network,News,,,,Periodicals,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3378,www.thenation.com,30376278,34438,Da Yin,FALSE,None,"Website of a progressive American monthly magazine, The Nation",Social/Lifestyle,News,,,Periodicals,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
11300,www.marketwired.com,30352779,56644,Da Yin,FALSE,None,"GlobeNewswire website, one of the world's largest newswire distribution networks",News,,,,Periodicals,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1930,docs.microsoft.com,30339471,47089,Da Yin,FALSE,None,Website for Microsoft Learn,Education/Knowledge,,,,Other,Education,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
59316,www.hotfreebooks.com,29960981,2396,Da Yin,FALSE,None,Gambling platform website,Entertainment,,,,Other,Entertainment,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13191,myemail.constantcontact.com,29622692,41620,Da Yin,FALSE,None,Platform for assisting marketing,Business/Finance,,,,Company website,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
516,archiveofourown.org,28460945,24847,Da Yin,FALSE,Weak Moderation,Fan-created archive for transformative fanworks,Entertainment,,,,Other,Entertainment,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
41281,www.british-history.ac.uk,28309522,8393,Da Yin,FALSE,None,Not-for-profit digital library based at the Institute of Historical Research about Britain,Books,Education/Knowledge,,,Encyclopedia/Database,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
20428,www.hindawi.com,28101736,13415,Da Yin,FALSE,Strong Moderation,One of the world's largest fully open access journal publishers,Academic,,,,Academic,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1288,www.cnbc.com,28087786,52690,Robert,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4284,en.wikisource.org,27799292,20790,Robert,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
15970,wikivisually.com,27729528,9358,Robert,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6842,www.si.com,27689545,60557,Robert,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30666,www.makeuseof.com,27539311,25597,Robert,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2036,s3.amazonaws.com,27445389,33447,Robert,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4728,slate.com,27358844,39334,Robert,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6188,www.cbsnews.com,26979711,46987,Robert,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5457,www.ibtimes.co.uk,26633881,64642,Robert,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
45174,edition.cnn.com,26502999,10252,Robert,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
232303,www.patentsencyclopedia.com,26324304,3305,Ariel Lee,FALSE,None,Encyclopedic database for patent applications and inventions (2009-2022),Legal,Technology/Code,,,Encyclopedia/Database,Legal,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5152,www.bbc.com,26234569,61107,Ariel Lee,FALSE,Strong Moderation,BBCs international news service domain,News,,,,Periodicals,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12657,wiki2.org,26204007,10807,Ariel Lee,FALSE,Strong Moderation,Modern interface to browse Wikipedia content,Education/Knowledge,General,,,Encyclopedia/Database,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3536,finance.yahoo.com,25894055,39402,Ariel Lee,FALSE,Strong Moderation,Financial news portal from yahoo with live market resources,Business/Finance,News,,,Periodicals,Business / Finance,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
11460,www.bbc.co.uk,25682039,56557,Ariel Lee,FALSE,Strong Moderation,BBCs UK news service domain,News,,,,Periodicals,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5637,www.rt.com,24585893,62646,Ariel Lee,FALSE,Weak Moderation,Russian global news network,News,,,,Periodicals,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
40433,www.patheos.com,24513616,24687,Ariel Lee,FALSE,Strong Moderation,Online platform for religious information and interfaith discussions,Social/Lifestyle,,,,Periodicals,Religion,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
107054,wattsupwiththat.com,24495545,4711,Ariel Lee,FALSE,Strong Moderation,Climate and weather focused blog,Education/Knowledge,,,,Periodicals,Climate Blog,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4193,www.audible.com,24333255,44572,Ariel Lee,FALSE,None,Amazon's audiobooks platform,E-Commerce,Books,,,Ecommerce,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7582,www.reuters.com,24314287,63208,Ariel Lee,FALSE,None,International news service,News,,,,Periodicals,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4171,www.espn.com,23762879,35646,Ariel Lee,FALSE,None,International cable sports channel,Entertainment,,,,Ecommerce,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4179,www.thisisinsider.com,23628161,38957,Ariel Lee,FALSE,Strong Moderation,"News service focused on markets, tech, business",News,Business/Finance,,,Periodicals,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4825,www.sfgate.com,23487491,33880,Ariel Lee,FALSE,Strong Moderation,News service focused on all things California,News,,,,Periodicals,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
49429,news.ycombinator.com,23337837,5787,Ariel Lee,FALSE,Weak Moderation,Y Combinator's 'hacker' news forum,Technology/Code,News,,,Periodicals,Social Media for tech,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
144500,8ch.net,23225177,4915,Ariel Lee,TRUE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
26562,www.entrepreneur.com,23212828,40966,Ariel Lee,FALSE,Strong Moderation,Magazine & website specific to business and entrepreneurship,Business/Finance,E-Commerce,,,Periodicals,Business / Finance,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8720,sites.google.com,23184999,57663,Ariel Lee,FALSE,None,Google's basic website builder with templates,E-Commerce,Technology/Code,,,Ecommerce,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6058,www.prweb.com,23096757,60008,Ariel Lee,FALSE,Strong Moderation,Online news and press release distribution service,News,Entertainment,,,Periodicals,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
19321,www.usatoday.com,22938520,40106,Ariel Lee,FALSE,Strong Moderation,American news service,News,,,,Periodicals,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
68956,www.gty.org,22713369,4872,Ariel Lee,FALSE,None,Media ministry of John MacArthur's church,Social/Lifestyle,,,,Social Media,Religion,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
39049,www.newyorker.com,22707574,23887,Ariel Lee,FALSE,Strong Moderation,American news service,News,,,,Periodicals,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6522,nypost.com,22512786,63661,Ariel Lee,FALSE,Strong Moderation,American news service,News,,,,Periodicals,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
40488,www.buzzfeed.com,22282033,46146,Ariel Lee,FALSE,Strong Moderation,Pop culture entertainment,Entertainment,News,Cultural/Artistic,,Periodicals,Entertainment,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
607,www.express.co.uk,21942698,73716,Ariel Lee,FALSE,Weak Moderation,UK News and entertainment sevice,News,Entertainment,,,Periodicals,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4405,www.fastcompany.com,21879507,42751,Ariel Lee,FALSE,Strong Moderation,American business magazine & service focused on tech & design,News,Business/Finance,Technology/Code,,Periodicals,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5436,www.nydailynews.com,21843042,50648,Ariel Lee,FALSE,Strong Moderation,American news service,News,,,,Periodicals,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9844,screenrant.com,21804132,30076,Ariel Lee,FALSE,Strong Moderation,Entertainment industry news service,News,Entertainment,,,Periodicals,Entertainment,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
42179,www.nintendolife.com,21773370,13033,Ariel Lee,FALSE,Weak Moderation,Nintendo news forum,Entertainment,News,,,Periodicals,Entertainment,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
146948,www.chumplady.com,21759411,1487,Ariel Lee,FALSE,Weak Moderation,Infidelity blog by Tracy Schorn,Social/Lifestyle,,,,Social Media,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
21647,www.thesun.co.uk,21705292,53461,Ariel Lee,FALSE,Strong Moderation,UK News and entertainment sevice,News,,,,Periodicals,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
44162,www.lrb.co.uk,21699314,8922,Ariel Lee,FALSE,Strong Moderation,British literary magazine,Education/Knowledge,Books,News,,Periodicals,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7780,www.abc.net.au,21609426,32094,Ariel Lee,FALSE,Strong Moderation,American news service,News,,,,Periodicals,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4180,www.globalresearch.ca,21429262,24078,Ariel Lee,FALSE,Strong Moderation,Research and media outlet for global issues,News,,,,Periodicals,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12213,casetext.com,21399664,10770,Ariel Lee,FALSE,None,Company website for AI Legal Assistant (part of Thompson Reuters),E-Commerce,Technology/Code,,,Ecommerce,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
202613,openjurist.org,21341305,6519,Ariel Lee,FALSE,None,American Legal Research website (free),Legal,Education/Knowledge,,,Encyclopedia/Database,Legal Research Database,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4930,mashable.com,21238813,57691,Ariel Lee,FALSE,None,Digital media and entertainment,News,Entertainment,Social/Lifestyle,,Periodicals,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
76042,sponsoredprograms.info,21230259,5913,Ariel Lee,TRUE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8194,www.tribuneindia.com,20994526,10177,Ariel Lee,FALSE,Strong Moderation,English daily news catered towards North India,News,,,,Periodicals,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
18199,www.weddingwire.com,20811772,35581,Ariel Lee,FALSE,Strong Moderation,Wedding planning service & news (can create your own site),E-Commerce,Social/Lifestyle,,,Company website,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
76917,cosmism.info,20602523,5708,Ariel Lee,FALSE,None,Hypnosis treatment book service & info in Denmark,E-Commerce,,,,Company website,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5539,www.edweek.org,20574913,26730,Ariel Lee,FALSE,Strong Moderation,Educational news focued on K-12,News,Education/Knowledge,,,Periodicals,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3723,www.cinemablend.com,20461583,38760,Ariel Lee,FALSE,None,Entertainment and cinema blog,Entertainment,Reviews,,,Social Media,Entertainment Blog,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2794,www.thestar.com,20441962,34730,Ariel Lee,FALSE,Strong Moderation,Canadian news services,News,,,,Periodicals,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4563,www.inquisitr.com,20394321,49438,Ariel Lee,FALSE,None,American news service focused on entertainment,News,Entertainment,,,Periodicals,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6771,www.irishtimes.com,20319934,35473,Ariel Lee,FALSE,Strong Moderation,Irish news service,News,,,,Periodicals,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
38504,optimaes.info,20158856,5582,Ariel Lee,TRUE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30963,eur-lex.europa.eu,20141416,5352,Ariel Lee,FALSE,None,Official European Law website,Government/Policy,Legal,,,Government,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
23502,b-ok.org,20098504,5583,Ariel Lee,TRUE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
83611,www.askamanager.org,20080003,1975,Ariel Lee,FALSE,None,Blog related to being a successful manager,Social/Lifestyle,,,,Company website,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4109,www.deviantart.com,20020977,68001,Ariel Lee,FALSE,Strong Moderation,Online social network for artists / creatives,Cultural/Artistic,Social/Lifestyle,,,Company website,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
7235,mic.com,20014777,37237,Ariel Lee,FALSE,None,News service focused on underrepresented communities,Social/Lifestyle,News,,,Periodicals,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5355,www.hollywoodreporter.com,19966473,36513,Ariel Lee,FALSE,None,American news service focused on entertainment,News,Entertainment,,,Periodicals,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6034,www.politico.com,19965571,28517,Ariel Lee,FALSE,None,News service dedicated to politics and policy,News,,,,Periodicals,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
34138,www.pcworld.com,19964251,41661,Ariel Lee,FALSE,None,PC-centric hardware & software news / blog,Technology/Code,Reviews,E-Commerce,,Ecommerce,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
18589,bmcpublichealth.biomedcentral.com,19894486,4410,Ariel Lee,FALSE,Strong Moderation,"Open access, peer-reviewed journal on public health",Academic,Biomedical/Health,,,Academic,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4105,www.elibrary.imf.org,19866234,6474,Ariel Lee,FALSE,None,International Monetary Fund eLibrary for commerce & globalization info (UN),Government/Policy,Education/Knowledge,,,Government,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
56998,flvoters.com,19751569,3565,Ariel Lee,TRUE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4910,newrepublic.com,19747946,27392,Ariel Lee,FALSE,None,Liberal news service focused on inclusion & democracy,News,,,,Periodicals,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
116812,www.youbemom.com,19495757,2435,Ariel Lee,TRUE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
53553,zimnieprazdniki.info,19332341,5381,Ariel Lee,FALSE,None,Russian blog,Social/Lifestyle,,,,Social Media,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5066,www.androidheadlines.com,19309595,42598,Caroline Shamiso Chitongo,FALSE,None,"Technology news, deals and features",News,Technology/Code,,,Periodicals,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3025,www.gsmarena.com,19298514,43571,Caroline Shamiso Chitongo,FALSE,Weak Moderation,Technology E-Commerce and news,E-Commerce,Technology/Code,News,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
85943,www.factbites.com,19297647,10989,Caroline Shamiso Chitongo,FALSE,None,Blog Encyclopedia,Blog,Education/Knowledge,,,Periodicals,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7904,techcrunch.com,19053221,41198,Caroline Shamiso Chitongo,FALSE,None,Technology news and business,E-Commerce,Technology/Code,,,Periodicals,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
